term,definition,register_id,legislation_reference
Online persona,means a fictitious online identity used legitimately in support of official online activities on the internet or other computer network. An online persona is an assumed identity used specifically for online policing activities. These activities are categorised as 'discreet' or 'covert' and reflect the level of engagement involved with the person/s of interest. An online persona may be shared by more than one person if authorised by the approving delegate.,95,
Overt research,"involves research using a web browser to search for and access open source information where there is no requirement to register or use an online entity, log in or provide any information at all and accessing web page/site will not place any investigation at risk. This includes using a search engine to search websites and social media sites where no log in or online entity is used. However, it does not include accessing any website, forum or a blog where any investigation may potentially be at risk due to the administrator/moderator being able to identify access by a Victoria Police computer.",95,
Discreet online activity,"involves members observing or undertaking online surveillance of person/s of interest without disclosing they are a member of Victoria Police. It includes using an online persona to create online entities to enable this observation via logging into the site or application, registering a user name, but does not include active engagement with the person. It also includes accessing any website, forum or blog where it would potentially put any investigation at potential risk if the website, forum or blog administrator/moderator were to identify access by a Victoria Police computer. Employees are permitted to send friend requests or 'like' social media posts of a non-offensive nature.",95,
Covert online activity,"involves using an online persona or an assumed identity to create online entities to engage) with person/s of interest or known offenders on the internet, without disclosing they a member of Victoria Police. This includes making comments to social media posts, offering to purchase items, making comments in a forum or blog, or otherwise interacting with persons online as part of an investigation or intelligence gathering operation.",95,
Controlled Conduct,an assumed identity or online persona does not authorise any form of controlled conduct. Any controlled conduct must be approved under the Crimes (Controlled Conduct) Act 2004.,95,
Approving Officer,"members who have been delegated the powers in the Act to grant authority to acquire and use an assumed identity (see instrument of delegation IS4); Assistant Commissioner, Intelligence and Covert Support Command (ICSC) Superintendent, Covert Services Division, ICSC Superintendent, State Intelligence Division, ICSC Superintendent, Support Services Division, Professional Standards Command.",95,
Assumed identity,"a fictitious, alternative identity used for investigation and intelligence gathering purposes. Under the Crimes (Assumed Identities) Act 2004, authority is required to acquire and use evidence of an assumed identity, which includes: identification documents such as drivers' licences, credit cards or a passport; and online personas and any online entities. Online persona -an online persona is an assumed identity used to create online entities specifically for online policing activities. These activities are categorised as 'discreet' or 'covert' and reflect the level of engagement involved with the person/s of interest.",96,
Online entity,"is any account or profile created to access or use any social media or other online site, service or application (e.g. Facebook, email, eBay, chat service, blog etc.).",96,
Overt online activity,means activity undertaken for corporate or operational purposes and involves employees using the internet to search for or publish information in support of official duties where there is no concern that the user can be identified as a Victoria Police employee. Overt online activity includes engagement and interacting with the public on the internet clearly representing Victoria Police.,96,
Overt research,"involves research using a web browser to search for and access open source information where there is no requirement to register, use an online entity, log in or provide any information at all and accessing web page/site will not place any operation or investigation at risk. This includes using a search engine to search websites and social media sites where no log in or online entity is used. However, it does not include accessing any website, forum or a blog where any investigation may potentially be at risk due to the administrator/moderator being able to identify access by a Victoria Police computer.",96,
Discreet online activity,"involves members observing or undertaking online surveillance of person/s of interest without disclosing they are a member of Victoria Police. It includes using an online persona to create online entities to enable this observation via logging into the site or application, registering a user name, but does not include active engagement with the person. It also includes accessing any website, forum or blog where it would potentially put any investigation at potential risk if the website, forum or blog administrator/moderator were to identify access by a Victoria Police computer. Employees are permitted to send friend requests or 'like' social media posts of a non-offensive nature.",96,
Covert online activity,"involves using an online persona or an assumed identity to create online entities to engage) with person/s of interest or known offenders on the internet, without disclosing they a member of Victoria Police. This includes making comments to social media posts, offering to purchase items, making comments in a forum or blog, or otherwise interacting with persons online as part of an investigation or intelligence gathering operation.",96,
Investigator Suitability Assessment (ISA),"An assessment, which is both examination and written scenario based, that provides a member with the eligibility to apply for Investigator positions.",97,
Advanced Diploma of Police Investigation (ADPI),"Nationally recognised qualification which is delivered and awarded by Victoria Police that is required to: retain an Investigator position, and be designated as a Detective.",97,
Pre-promotional assessment,"an assessment that once passed, makes the participant eligible to apply for positions at the rank above that which they currently hold.",98,
Promotional program,prerequisite training for promotion or confirmation at rank. The related pre-promotional assessment must be passed to be eligible for inclusion in a promotional program.,98,
Current Position,"the pre-injury position performed by the member (gazetted position), and not one where duties, tasks and/or work schedules are temporarily modified and assigned as part of the occupational rehabilitation (return to work) process.",102,
Direction to Attend (DTA),where a member is directed by the Chief Commissioner's delegate to attend for medical examination by the Police Medical Officer to assess their fitness for work in accordance with clause 125 of the Agreement.,102,
Injury Management Consultant (IMC),a suitably qualified and experienced person who supports Victoria Police compliance with its return to work obligations through consultation with relevant stakeholders and provision of support to ill/injured workers to safely and sustainably stay at work or return to work as soon as appropriate.,102,
Mobility,refers to the process applicable to members who are unable to perform the inherent requirements of their gazetted position as a result of illness or injury (work or non-work related) and who may be referred to the Police Medical Officer (PMO) to assess their fitness for work.,102,
Police Medical Officer (PMO),a qualified and registered medical practitioner employed by the Medical Advisory Unit to assess and determine a member's fitness for duty at Victoria Police.,102,
Registered Medical Practitioner,a registered Doctor of Medicine.,102,
Registered Health Practitioner,"a person registered or licensed as a health practitioner under the Health Practitioner Regulation National Law Act (Victoria) 2009 who is nominated by the member to identify, prevent or treat an illness or injury. Also refer to the general VPM Dictionary for definitions and acronyms.",102,
Bridging visa,a class of temporary visa that may be granted to any eligible non-Australian citizen who is one of the following: immigration cleared in a prescribed class of persons determined by the Minister to be an eligible non-Australian citizen.,105,
Officer,"under the Migration Act, an officer includes a member of the Australian Federal Police or of the police force of a state or internal territory. Protective Services Officers (PSOs) and Police Custody Officers (PCOs) do not have any powers under the Migration Act.",105,
Lawful non-Australian citizen,a non-Australian citizen who holds a current visa.,105,
Migration zone,"under s.5 of the Migration Act, the migration zone includes all Australian states and territories as well as some maritime areas.",105,
Unlawful non-Australian citizen,a non-Australian citizen who does not hold a current visa.,105,
Incident,"an event that results in a person's injury, illness (including injury or illness of a psychological nature) or death; or serious malfunction or damage to equipment, buildings or property, or environmental factors that had the potential to cause injury or illness to an employee, contractor, or person in police care or custody.",110,
Near Miss,"a situation where an incident could have occurred that had the potential to cause injury or illness, including injury of a psychological nature.",110,
Workplace,"a place, whether or not in a building or structure where employees or self-employed persons work, including any location where work duties are undertaken.",110,
Full Pay,for the purpose of this policy 'full pay' means the employee's ordinary rate of pay and includes any allowance which would ordinarily be payable in respect of every pay period in a year.,113,
Agent,The authorised agent provides claims management services on behalf of WorkSafe for Victoria Police,113,
Compliance Manager (CM),a police member who has completed the Compliance Management Training Course and whose duties include the management of RSOs.,115,
Discretionary offences,"refers to offenders convicted of offences listed in specific schedules of the SORA, where the offender is a child, or convicted of offences listed in Schedule 3 or 4, where both the victim and offender are adults.",115,Sex Offenders Registration Act 2004
Notification of Reporting Obligations (NORO),a signed acknowledgement which includes both detailed advice regarding an RSO's reporting obligations and that they have read and understood these obligations.,115,
Offender Management team (OMT),a team within the Offender Management Division (OMD) that is responsible for conducting and reviewing risk assessments of RSOs.,115,
Proactive Targeting Team (PTT),a team within the OMD who provide investigative and proactive support to CMs.,115,
Regional Offender Management Operations Committee (ROMOC),a regional governance committee with oversight over operational RSO management.,115,
Registered sex offender (RSO),"a person as defined under s. 6, SORA. All registered offenders are identified by a flag on LEAP.",115,Sex Offenders Registration Act 2004
Registrable offences,"refers to offences listed in Schedule 1 or 2 of the SORA, where the offender is an adult and the victim is a child.",115,Sex Offenders Registration Act 2004
Registrable offender,"refers to an offender whom a court has sentenced for a registrable offence (as per s. 6, SORA).",115,Sex Offenders Registration Act 2004
RSO Management Plan (RSO-MP),outlines risk mitigation strategies the CM will perform in the course of RSO management.,115,
Section 25 (s.25 receipt),Receipt of Information issued to an RSO under the SORA.,115,Sex Offenders Registration Act 2004
Serious Offender Management Steering Committee (SOMSC),an organisational governance committee with oversight over RSO management practice and strategy.,115,
Sex Offenders Registry (SOR),a unit within OMD which coordinates the registration and reporting processes for registrable offenders and any disclosure of information from the Register.,115,
Sex Offenders Registration Act (SORA),primary legislative framework for RSO management.,115,
Supervision Order,refers to a post-sentence order under the Serious Offenders Act 2018.,115,Serious Offenders Act 2018
registrable offender,as defined under section 6 of the Sex Offenders Registration Act 2004,116,Sex Offenders Registration Act 2004
Compliance Manager (CM),police officers appointed to manage registered sex offenders and undertake the responsibilities in section 2.6 of VPM Registered sex offender management,116,
CM's Manager,line managers who have overall management of CMs and undertake the responsibilities in section 2.5 of VPM Registered sex offender management Also refer to the general VPM Dictionary for definitions and acronyms.,116,
I&R member,"For the purposes of this policy the term 'I&R member' is used to refer to any member who works in an I&R Unit (including the CIU, SOCIT, FVIU and DRU).",117,
Joint Management Plan (JMP),"A plan required for each SO offender. It is based on an offender's risk of reoffending, and is owned and developed by Corrections Victoria with input from Victoria Police. Offender Management Plan (OMP) -A plan required for all SO offenders which details the management strategies which will be used over a 12-month period, based on the offender's risk.",117,
Post Sentence Authority (PSA),A body established to monitor compliance with and administer the conditions of orders under the SOA.,117,The Serious Offenders Act 2018
Residential facility,Specialist residential facilities providing accommodation for serious offenders who require a higher level of supervision than those able to reside in the community.,117,
Responsible Agency,"includes the Secretary of the Department of Justice and Regulation, the Secretary of the Department of Families, Fairness and Housing (DFFH) and the Chief Commissioner of Police.",117,
Supervision Order Specialist Response Unit (SOSRU),"A joint initiative between Victoria Police and Corrections Victoria (CV), providing a strategic and collaborative approach to the monitoring and management of offenders subject to SOs.",117,
24-hour police station,"a station which offers 24/7 counter reception and response capability and may also have police cells. Stations classified as 24-hours are determined by the Deputy Commissioner (DC), Regional Operations, and are listed on the DC, Regional Operations intranet site.",118,
Primary response,"duties that involve general patrolling, public order management and/or where providing a first response to incidents is likely or expected (e.g. divisional van, patrol car, highway patrol, patrol supervisors (251), members on availability to perform first response to incidents, attendance at sporting or community events).",118,
Secondary response,"duties where members may be required to provide supervision, back-up or specialist capabilities for incidents but do not provide a primary response other than as back-up to primary response units (e.g., divisional patrol supervisor (265), duty officer (150), PACER units, dog squad, crime scene or other similar specialist or investigative units).",118,
Authorised Officer (TA),as defined by the Transport (Compliance and Miscellaneous) Act 1983.,120,
Designated place,"means: as defined by r.27, Victoria Police Regulations 2014, a place on or within any of the following places is a designated place: railway premises, which includes trains and tracks (see r.4 for the full definition); rail premises on or adjoining railway premises including any car parking area on the rail premises; land on or in which a tram stop and any associated tram stop infrastructure is situated (see s.48H of the Road Management Act 2004 for further definition); any rail premises on or adjoining a tram stop including any car parking area on the rail premises; bus premises; any roadway or other thoroughfare giving access to the rail premises or specified bus premises; any area on or adjoining rail premises or specified bus premises used by other modes of transport including taxi ranks; any municipal council controlled car park adjoining rail premises or specified bus premises; any privately owned or managed land used for a car park or other public transport purposes adjoining rail premises or specified bus premises; a road on which a specified bus route or rail replacement bus provides a bus service at the time the service is in operation. a place or area declared to be a designated place in a notice published under s. 3A, Victoria Police Act 2013 (see section 11 of this police for further information). Refer to r. 4, Victoria Police Regulations for further definitions of rail premises, bus premises, bus service, bus stopping point, rail replacement bus, specified bus premises and specified bus route. Also refer to the general VPM Dictionary for definitions and acronyms. Policy PSOs have been given a number of legislative powers in support of their role of keeping the public transport network safe. In addition to these legislated powers, PSOs have a general responsibility to protect and assist members of the public, particularly children and vulnerable people. Tasking of duties: PSOs may only be tasked to undertake duties in a designated place, except in the case of section 12 of this policy. Legislative powers: Except for the general authority to arrest a person without warrant under s.458, Crimes Act 1958 or the deployment of PSOs in a state of emergency or disaster, PSOs can only exercise their legislative powers when on duty at a designated place. General duties when on duty at a designated place: PSOs should provide assistance to members of the public as far as practicable and ensure that available emergency or support services are contacted as required PSOs are responsible for ensuring the safety, security and wellbeing of a person who has been taken into their care or custody (refer to VPM Management of people in police care or custody). Responsibilities and procedures",120,Crimes Act 1958; Road Management Act 2004; Victoria Police Act 2013; Victoria Police Regulations 2014
Critical incident,"as defined by s.82, Victoria Police Act 2013",121,Victoria Police Act 2013
Dock,a power board for charging and uploading of BWC,121,
DEMS,digital evidence management system - evidence.com,121,
Metadata,a set of data that describes and gives information about other data,121,
Frontline duties,"duties that involve interactions with the public, including general patrolling, traffic management, public order management and/or where responding to an incident is likely or expected",121,
Standby,when the BWC is fitted to the member's uniform and switched on ready to start recording,121,
Start,when the event button on the BWC is pressed to commence recording,121,
Stop,when the event button on the BWC is pressed to stop recording and return the BWC to standby mode.,121,
Equipment issue officer,"employee of Victoria Police who is required, as part of their duties, to issue members or PCOs with OSE.",122,
ETMS,Victoria Police maintained equipment tracking management system.,122,
ETMS equipment scope,is equipment defined in ETMS Operational Guidelines.,122,
ETMS location,a work unit where ETMS has been deployed.,122,
Equipment issue officer,"employee of Victoria Police who is required, as part of their duties, to issue members or PCOs with OSE.",125,
ETMS,Victoria Police maintained equipment tracking management system.,125,
ETMS equipment scope,equipment defined in ETMS Operational Guidelines.,125,
ETMS location,a work unit where ETMS has been deployed.,125,
Primary response,"duties that involve general patrolling, public order management and/or where providing a first response to incidents is likely or expected (e.g. Divisional Van, Patrol Car, Highway Patrol, Patrol Supervisors, members on availability to perform first response to incidents, attendance at sporting or community events).",125,
Secondary response,"duties where members may be required to provide supervision, back-up or specialist capabilities for incidents but do not provide a primary response other than as back-up to primary response units (e.g., Divisional Patrol Supervisor, Duty Officer, PACER units, Dog Squad, Crime Scene or other similar specialist or investigative units).",125,
Acquisition,"Procurement of assets to meet an identified service need, including the assessment of procurement options.",126,
Asset,"For the purposes of this policy, an asset is an item or thing that has potential value and is the responsibility of Victoria Police. From the perspective of the organisation's asset register, Victoria Police has over ten thousand owned, high-value assets valued at over $1.5 billion. In addition, Victoria Police owns thousands of other assets not captured on the asset register because they are individually valued at less than $5,000 and leases of high-value assets such as fleet and property. Not all items warrant management under this policy. As such, a value and a capability test are to be used to define when an item is an asset. Value Threshold The Value Threshold relates to the cost of purchase or replacement of an item, thing or intangible asset and applies to: individual items with a replacement value equal to or more than $50,000 individual items required to be or usually purchased in bulk with a total replacement value of equal to or more than $50,000 contracts or leases for goods or services equal to or more than $500,000. Capability Threshold Assets support operational capability. Therefore, in line with Victoria Police's Capability Planning Framework, an item is considered an asset under this policy if the lack of access or ability to use the item would have a material impact on capability. This definition is irrespective of the Value Threshold.",126,
Asset determination,"An item will be determined to be an asset, and therefore managed under this policy, if it meets the Value or Capability Threshold detailed above.",126,
Asset lifecycle,"The series of life stages of an asset, from Planning through to Disposal, that need to be effectively managed to get the maximum organisational benefit out of an asset.",126,
Disposal,"Treatment of an asset that has either reached the end of its useful life, is considered surplus, or is under-performing.",126,
Exempt assets,"Some assets are exempt from management under this policy due to being specifically excluded under the AMAF or due to unique custodianship arrangements. These include, but are not limited to, financial assets, cultural collections, artworks and library collections.",126,
Financial assets,"Get value from a contractual right to ownership claim. Examples include, but are not limited to, cash, stocks and bank deposits. Further information on financial assets can be found in Accounting Standard AASB 132.",126,
Intangible assets,are identifiable non-monetary assets without physical substance. They are generally long-term resources of an organisation and derive their value from an organisation. Further information on intangible assets can be found in Accounting Standard AASB 138.,126,
Operation and maintenance,"Management, use and maintenance of an asset to deliver services.",126,
Planning,"Determination of asset requirements, based on an assessment of both service delivery needs and the capability of the existing asset base to meet these needs. For further information or to request and asset exemption under this policy, contact the ASSET-STRATEGY-MGR PBEA.",126,
External government agency personnel,"is an employee of an Australian State/Territory, or Federal Government agency whose permanent place of work is the Victoria Police Centre (VPC), or who requires access to Victoria Police facilities to undertake their duties.",128,
External non-government personnel,"is an employee of an organisation whose permanent place of work is the VPC (e.g. BankVic VPC Branch, Neighbourhood Watch). This does not include service providers as defined below.",128,
Law Enforcement Assistance Program (LEAP),"is the main central system used to record details of incidents, crimes, people and locations in support of operational policing activities.",128,
LEDR MK2,is a functionality within LEAP which allows for the recording of 'Field Contacts'.,128,
Security classified information,"is any information with a protective marking of PROTECTED, SECRET or TOP SECRET.",128,
Service provider,"is a contractor, consultant or other person who is or has been engaged to provide services to Victoria Police or to the Chief Commissioner of Police; or a person who is or has been employed by or engaged to provide services to an external government agency, external non-government agency or other service provider located within a Victoria Police facility.",128,
Victoria Police information,"is information, documentation and data in any form, including 'Law Enforcement Data' which is created, obtained, received, stored or released by Victoria Police (or individuals in the course of their duties as employees of Victoria Police) for any of the functions or activities of Victoria Police.",128,
Attendance and custody area,"the section of a police facility where a person is taken for processing, an interview or to be detained. Includes the sally port, interview rooms, cells, exercise yard, fingerprint area and charge counter.",129,
Corrections Victoria (CV) prisoner,a person that has been remanded or sentenced by a magistrate or judge and held in a CV facility. A CV prisoner can be temporarily held in the custody of the Chief Commissioner of Police.,129,
Custodial Health Advice Line (CHAL),CHAL is a phone service staffed by custodial nurses 24 hours a day and managed by the Custodial Health Service (CHS). The advice line provides health advice and assistance to members and PCOs managing people in police care or custody.,129,
Custodial Health Service (CHS),"CHS is responsible for providing health care to people in police care or custody across Victoria. This includes nursing and medical consultations both in-person and remotely, and the provision of medications.",129,
Custody Hub,"a centralised source of information, resources, templates, advice, and contact information relating to the management of people in police care or custody hosted on the Victoria Police intranet.",129,
Custody Operations and Logistics,"a unit within the Custody Operations Branch of the State Event Planning and Custody Management Division (SEPCMD) responsible for providing advice on custody matters as well as the placement and movement of detainees, including CV prisoners.",129,
Custody staff,"members and PCOs responsible for undertaking the day-to-day tasks required to ensure the safety, security, health, wellbeing and transport of people in police care or custody.",129,
Custody supervisor,"a police officer at the rank of sergeant or above, who has overall responsibility for ensuring the appropriate management of people in police care or custody for their shift, including people present for interview and those lodged in detention facilities.",129,
Detainee Risk Assessment (DRA),"a formal risk assessment completed on people in police care or custody which considers a range of factors including the person's custody risks, Person Warning Flags (PWF), LEAP information, physical health, mental health, medical issues and an assessment against the Coma Scale Assessment Tool. See VPM Management of people in police care or custody for further information.",129,
Detainee,a person in police custody that has been formally lodged in a detention facility.,129,
Detention facility,"a location listed on the Register of Detention Facilities and approved by the Assistant Commissioner, SESC. They are the secure areas within certain police facilities where a person in police custody is detained which includes cells, showers, indoor and outdoor exercise yards. Victoria Police detention facilities have been categorised as:",129,
category A detention facilities (previously police cells),facilities that are designated by Victoria Police as meeting relevant standards to support the overnight and multi-day detention of people in police custody,129,
category B detention facilities (previously holding rooms),facilities that are designated by Victoria Police as suitable for the short-term detention of people in police custody (generally no more than 12 hours).,129,
Lodging in detention facilities,"the placement of a person in police custody in a detention facility, including the creation of a Custody Module record. This generally occurs when a person in police custody has been charged and is to be presented before a bail decision maker or magistrate, has been remanded by a magistrate and is awaiting transport to CV, or has been sentenced.",129,
Person in police custody,"a person in police custody who is yet to be formally lodged in a detention facility and they are either: under lawful arrest by warrant under lawful arrest under s.458 or s.459, Crimes Act 1958 apprehended in the company of a member and being questioned or otherwise investigated for an offence, as defined by s.464(1), Crimes Act on remand or serving a sentence of imprisonment.",129,Crimes Act 1958
Police Custody Officer (PCO),a VPS employee authorised under s. 200D of the Victoria Police Act 2013 who can exercise their powers pursuant to s. 9A of the Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).,129,Corrections Act 1986; Victoria Police Act 2013
Police facilities,"property owned or occupied by Victoria Police. For example, a police station or alcohol and drug testing vehicle (Booze Bus). This excludes railway station PSO pods and spaces occupied by Victoria Police on a temporary or ad hoc basis.",129,
Police gaol,"an area within a police facility where an Order from Governor in Council has been published in the Government Gazette pursuant to s.11 of the Corrections Act. This will generally be accompanied with a floor plan, a maximum duration a detainee can be held at the facility and the maximum number of people who can be held in the facility. Not all locations on the Register of Detention Facilities are police gaols; advice on police gaol status can be obtained from Custody Operations and Logistics.",129,
Register of Detention Facilities,"a register of category A, category B, and 'other' police detention facilities located on the Custody Hub. The Register of Detention Facilities is maintained by Custody Operations and Logistics, and endorsed by the Assistant Commissioner, SESC.",129,
Attendance and custody area,"the section of a police facility where a person is taken for processing, for an interview or to be detained. Includes the sally port, interview rooms, cells, exercise yard, fingerprint area and charge counter.",131,
Bail decision maker,"is any of the following empowered under the Bail Act 1977 to grant, extend or revoke bail, or vary the amount/conditions of bail (s.3, Bail Act): a court a bail justice a police officer the sheriff or a person authorised under s.115(5), Fines Reform Act 2014.",131,Bail Act 1977; Fines Reform Act 2014
Cognitive impairment,a broad term used to describe impaired brain function that affects a person's ability to understand and process information.,131,
Corrections Victoria (CV) prisoner,a person who has been remanded or sentenced by a magistrate or judge and held in a Corrections Victoria facility. A CV prisoner can be temporarily held in the custody of the Chief Commissioner of Victoria Police.,131,
Custodial Health Advice Line (CHAL),CHAL is a phone service staffed by custodial nurses 24 hours a day and managed by the Custodial Health Service (CHS). The advice line provides health advice and assistance to members and Protective Custody Officers (PCOs) managing people in police care or custody.,131,
Custodial Health Service,"CHS is responsible for providing health care to people in police care or custody across Victoria. This includes nursing and medical consultations both in person and remotely, and the provision of medications.",131,
Custody Hub,"a centralised source of information, resources, templates, advice, and contact information relating to the management of people in police care or custody hosted on the Victoria Police intranet.",131,
Custody Operations and Logistics,"a unit within the Custody Operations Branch of the State Event Planning and Custody Management Division (SEPCMD), State Emergencies and Support Command (SESC), responsible for providing advice on custody matters as well as the placement and movement of detainees, including CV prisoners.",131,
Custody staff,"members and PCOs responsible for undertaking the day-to-day tasks required to ensure the safety, security, health, wellbeing and transport of people in police care or custody.",131,
Custody supervisor,"a police officer at the rank of sergeant or above, who has overall responsibility for ensuring the appropriate management of people in police care or custody for their shift, including people present for interview and those lodged in detention facilities.",131,
Detainee Risk Assessment (DRA),"a formal risk assessment completed on people in police custody. The DRA considers a range of factors including the person's custody risks, Person Warning Flags (PWF), Law Enforcement Assistance Program (LEAP) information, physical health, mental health, medical issues and an assessment against the Coma Scale Assessment Tool.",131,
Detainee,a person in police custody that has been formally lodged in a detention facility.,131,
Detention facility,"a location listed on the Register of Detention Facilities (available on the Custody Hub) and approved by the Assistant Commissioner, SESC. They are the secure areas within certain police facilities where a person in police custody is detained, which includes cells, showers, and indoor and outdoor exercise yards. Victoria Police detention facilities have been categorised as:",131,
category A detention facilities (previously police cells),facilities that are designated by Victoria Police as meeting relevant standards to support the overnight and multi-day detention of people in police custody,131,
category B detention facilities (previously holding rooms),facilities that are designated by Victoria Police as suitable for the short-term detention of people in police custody (generally no more than 12 hours).,131,
External agency,"any state or federal government agency or department, including CV, Youth Justice or another police jurisdiction.",131,
ISOBAR,"an acronym outlining the preferred communication style for providing information to CHAL. The ISOBAR acronym is: identify, situation, observations, background, agreed action and readback. Refer to the Health advice and guidance for managing people in police care or custody Practice Guide for further information.",131,
Lodging in detention facilities,"the placement of a person in police custody in a detention facility, including the creation of a Custody Module record. This generally occurs when a person in police custody has been charged and is to be presented before a bail decision maker or magistrate, has been remanded by a magistrate and is awaiting transport to CV, or has been sentenced.",131,
Member,"any person, excluding VPS employees, employed by Victoria Police in accordance with s. 7, Victoria Police Act 2013. This means police officer, protective services officer (PSO), recruit, and reservist except where an instruction specifically states otherwise. However, any authority or responsibility may only be exercised within the limits of the duties of the position and their legal authorities and responsibilities.",131,Victoria Police Act 2013
Person in police custody,"a person in police custody who is yet to be formally lodged in a detention facility and they are either: under lawful arrest by warrant under lawful arrest under s.458 or s.459, Crimes Act 1958 apprehended in the company of a member and being questioned or otherwise investigated for an offence, as defined by s.464(1), Crimes Act on remand or serving a sentence of imprisonment.",131,Crimes Act 1958
Placing on hold in detention facilities,the temporary placement of a person in police custody in a detention facility for a short period. This can occur in circumstances such as when an interview is placed on hold and the person is moved to the detention facility to ensure they are appropriately supervised while further enquiries are made.,131,
Police Custody Officer (PCO),"a VPS employee authorised under s.200D, Victoria Police Act 2013 who can exercise their powers pursuant to s.9A, Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).",131,Corrections Act 1986; Victoria Police Act 2013
Police facilities,"property owned or occupied by Victoria Police. For example, a police station or alcohol and drug testing vehicle (Booze Bus). This excludes railway station PSO pods and spaces occupied by Victoria Police on a temporary or ad-hoc basis.",131,
Police gaol,"an area within a police facility where an Order from Governor in Council has been published in the Government Gazette pursuant to s.11, Corrections Act. This will generally be accompanied with a floor plan, a maximum duration a detainee can be held at the facility, and the maximum number of people who can be held in the facility. Not all locations on the Register of Detention Facilities are police gaols; advice on police gaol status can be obtained from Custody Operations and Logistics.",131,
Register of Detention Facilities,"a register of category A, category B, and 'other' police detention facilities located on the Custody Hub. The Register of Detention Facilities is maintained by Custody Operations and Logistics, and endorsed by the Assistant Commissioner, SESC.",131,
Sentence Calculation and Warrant Administration (SCWA),"the CV unit set up to manage and respond to operational matters in relation to court moves, sentence calculations and priority clearances from Victoria Police.",131,
Serious illness,"an illness that requires a person to be admitted to hospital while the person was in the care or custody of a member or PCO. This does not include where the person is admitted to hospital solely under s.232, Mental Health and Wellbeing Act.",131,
Serious injury,"an injury that is life threatening, likely to result in permanent impairment or likely to require long-term rehabilitation.",131,
Service Monitor,"a nominated police officer at the rank of inspector or above, responsible for monitoring compliance with the Custody and Escort Services Contract and overseeing the service delivery of contracted staff at police detention facilities.",131,
State Event Planning and Custody Management Division (SEPCMD),"the Division within SESC responsible for the movement of persons between police facilitates and courts, oversight and coordination of custody, CHS, and advice and assistance with planned and unplanned major events. Also refer to the general VPM Dictionary for definitions and acronyms.",131,
Police Custody Officer (PCO),"a VPS employee authorised under s.200D, Victoria Police Act 2013.",132,Victoria Police Act 2013
Supervising Police Custody Officer (SPCO),a Police Custody Officer authorised under s.200AC Victoria Police Act.,132,
Charged person,a person who has been charged with an offence who is in police custody.,132,
Detained person,any person who is detained in a police gaol.,132,
Custody supervisor,as defined in VPMP Persons in police care or custody.,132,
Custody staff,as defined in VPMP Persons in police care or custody. Also refer to the general VPM Dictionary for definitions and acronyms.,132,
Community protest,"protests, demonstrations, marches or rallies relating to local and/or international matters.",134,
Contained crowd,a crowd is considered to be contained when a cordon exists that prevents crowd movement and offers limited or no egress points; this may also be described as 'kettling'.,134,
Crowd,"a large group of people who have gathered closely together for an event such as a demonstration, protest, picket line, industrial dispute, march, procession, sporting, entertainment or community event.",134,
Crowd control,a coordinated application of a selected range of proportionate measures to justifiably ensure public safety; this may also be described as 'crowd management.',134,
Independent observers,"people attending who are intentionally present at, but not participating in, community protests or an industrial dispute; they may also be referred to as 'legal observers.'",134,
Industrial dispute,"a dispute between employees, unions and/or employers in circumstances including, but not limited to, working conditions and enterprise bargaining agreements.",134,
Non-routine situation,a crowd assessed as having a likely potential for violence and/or is likely to attract a high degree of community interest in the police operation.,134,
Tactical plan,"a specialist document and primary reference created when a non-routine situation occurs to support the changed command and control environment. It may be used instead of an Incident Action Plan or, depending on the circumstances and detailed required, both may be used.",134,
Commercial arrangement,is a contract for the provision of policing services at a commercial enterprise.,136,
Commercial event,"is any event where charges are made for admission to the event, or the event is commercial in nature, commercially promoted or commercially sponsored, or an event or class of events as prescribed in the Regulations. The event may or may not be a for-profit event.",136,
Enterprise Bargaining Agreement (EBA),"the Victoria Police (Police Officers, Protective Services Officers, Police Reservists and Police Recruits) Enterprise Agreement 2019.",136,
Event,"is any planned activity in an area or location that will contain a number of persons greater than that normally found in that area or location at one time, including sporting events, local festivals, concerts, and community events. The need for police attendance at these events may be identified by police or requested by event organisers or local/regional government areas.",136,
Event Management System (EMS),"a Victoria Police application to catalogue, plan and record police resourced public events. members can also use the application to view, apply for, and manage voluntary duties at sporting and community events.",136,
Event organiser,the entity that is responsible for the beginning to end production or staging of an event.,136,
Event Planning Risk Assessment Method (EPRAM),"a tool to assist members responsible for planning an event in assessing security, public safety and planning for events.",136,
Holders of High Office (HOHO),"a person who holds a high position in Government, in Australia or overseas, who is performing the functions of a Head of State or a Foreign Minister.",136,
Internationally Protected Persons (IPP),a person who has a designated security status recognised by Australia.,136,
Police resources,"any Victoria Police employees or supporting goods such as specialist equipment, vehicles or animals.",136,
Preliminary Event Categorisation Tool (PECT),a process to enable members to correctly categorise events involving Victoria Police.,136,
Regional event,"an event staged completely within a region, as well as within the planning capability of the host region.",136,
State event,"major international, cross-regional national events, as well as government protocol events including guests of government, dignitaries, and government ceremonial events.",136,
User Pays event,a commercial event that Victoria Police has determined that the event organiser is liable to pay for police resources deployed in response to the planned event.,136,
Voluntary duties,"voluntary duties involves members working events on their rest days and on recreation leave, in compliance with the EBA.",136,
